shirt,pants,shoes,style,shirt_subtype,pants_subtype,shoes_subtype,fit,temperature,occasion,outerwear,score
brown,navy,grey,streetwear,henley,chinos,loafers,regular,mild,party,none,0
white,black,navy,streetwear,oxford,jeans,boots,oversized,mild,date,none,0
beige,white,black,old_money,dress_shirt,jeans,boots,regular,mild,date,jacket,2
white,white,beige,old_money,henley,jeans,sandals,oversized,cold,date,jacket,1
navy,grey,white,casual,tee,trousers,sneakers,oversized,hot,date,coat,-2
grey,navy,grey,old_money,henley,chinos,sneakers,relaxed,cold,date,coat,0
navy,black,beige,casual,polo,shorts,sandals,oversized,mild,date,long_coat,0
brown,brown,beige,minimal,dress_shirt,trousers,sneakers,oversized,mild,date,long_coat,1
grey,brown,white,casual,dress_shirt,jeans,sandals,regular,cold,party,jacket,-2
navy,white,brown,streetwear,dress_shirt,chinos,sneakers,slim,hot,business,none,0
beige,white,white,streetwear,polo,chinos,boots,slim,hot,party,none,0
beige,navy,grey,streetwear,tee,trousers,loafers,regular,hot,business,coat,-2
grey,white,beige,old_money,henley,chinos,loafers,regular,hot,date,long_coat,0
brown,grey,black,old_money,henley,chinos,loafers,relaxed,mild,party,long_coat,2
brown,black,black,formal,dress_shirt,jeans,loafers,slim,cold,party,long_coat,1
black,grey,brown,minimal,polo,chinos,sneakers,regular,cold,university,jacket,0
brown,navy,brown,old_money,oxford,trousers,sneakers,slim,mild,university,long_coat,2
grey,navy,grey,old_money,tee,shorts,sandals,oversized,cold,date,jacket,-2
brown,grey,white,formal,oxford,trousers,sneakers,relaxed,cold,business,jacket,0
beige,black,navy,old_money,polo,chinos,loafers,oversized,mild,university,coat,2
grey,black,navy,minimal,polo,chinos,boots,regular,cold,business,none,-2
white,brown,brown,old_money,henley,shorts,loafers,oversized,hot,business,none,2
brown,brown,white,streetwear,tee,jeans,sandals,relaxed,cold,university,none,-3
black,beige,white,formal,polo,chinos,boots,slim,hot,business,none,0
grey,brown,white,minimal,dress_shirt,trousers,sandals,oversized,hot,party,none,0
navy,beige,white,streetwear,tee,trousers,loafers,relaxed,hot,date,long_coat,-2
black,white,black,casual,dress_shirt,jeans,sneakers,oversized,mild,date,long_coat,0
navy,brown,white,minimal,oxford,jeans,boots,regular,mild,university,long_coat,0
grey,grey,black,formal,polo,jeans,sneakers,relaxed,hot,university,long_coat,-1
black,grey,white,formal,dress_shirt,trousers,sandals,relaxed,cold,date,long_coat,-2
beige,brown,beige,old_money,tee,chinos,sandals,relaxed,hot,party,long_coat,0
navy,navy,navy,minimal,dress_shirt,shorts,sneakers,slim,mild,date,coat,1
white,brown,grey,casual,polo,shorts,sneakers,slim,cold,date,long_coat,0
grey,navy,black,minimal,tee,trousers,loafers,regular,cold,party,jacket,0
brown,brown,navy,casual,polo,trousers,boots,relaxed,hot,party,long_coat,-1
grey,navy,beige,minimal,henley,jeans,sandals,regular,mild,business,long_coat,0
brown,white,black,old_money,henley,jeans,sneakers,regular,cold,business,none,0
white,black,black,minimal,oxford,trousers,sneakers,regular,mild,party,coat,0
brown,brown,black,casual,henley,chinos,sandals,regular,hot,business,none,1
black,navy,navy,minimal,polo,chinos,loafers,slim,cold,party,none,-2
grey,brown,navy,formal,dress_shirt,shorts,sandals,regular,cold,university,coat,-1
beige,white,white,formal,polo,shorts,loafers,slim,cold,party,none,-1
grey,white,grey,casual,polo,trousers,loafers,relaxed,cold,date,jacket,0
navy,navy,white,streetwear,polo,shorts,boots,oversized,cold,university,long_coat,1
navy,navy,navy,casual,oxford,trousers,sandals,relaxed,cold,university,jacket,-1
grey,brown,black,casual,henley,jeans,sandals,slim,mild,party,coat,0
grey,beige,white,minimal,dress_shirt,shorts,boots,regular,hot,university,jacket,-2
beige,black,white,minimal,oxford,shorts,sneakers,slim,cold,university,jacket,0
navy,navy,beige,minimal,polo,jeans,loafers,regular,hot,party,coat,-1
grey,beige,navy,casual,oxford,jeans,sandals,relaxed,mild,business,jacket,0
grey,brown,grey,minimal,dress_shirt,trousers,sneakers,relaxed,cold,party,jacket,0
beige,brown,brown,minimal,oxford,chinos,loafers,slim,hot,date,coat,-2
black,white,white,old_money,polo,chinos,sneakers,oversized,cold,university,long_coat,0
grey,grey,beige,old_money,oxford,chinos,sandals,slim,hot,party,coat,1
grey,brown,navy,minimal,dress_shirt,shorts,loafers,regular,mild,date,coat,0
grey,grey,white,formal,oxford,chinos,boots,regular,hot,university,long_coat,-1
navy,white,brown,old_money,oxford,trousers,sneakers,relaxed,cold,date,none,0
grey,brown,navy,streetwear,polo,trousers,loafers,slim,hot,party,coat,-2
black,navy,black,casual,polo,trousers,loafers,oversized,mild,party,none,0
brown,brown,navy,old_money,tee,jeans,loafers,relaxed,mild,date,none,3
beige,beige,grey,minimal,oxford,shorts,sneakers,oversized,hot,university,coat,-1
navy,black,white,minimal,dress_shirt,shorts,sandals,regular,cold,date,none,-4
black,black,beige,streetwear,dress_shirt,shorts,boots,slim,hot,university,long_coat,-1
navy,brown,navy,minimal,tee,trousers,boots,relaxed,hot,date,jacket,-2
navy,beige,brown,streetwear,henley,jeans,loafers,slim,cold,party,jacket,0
grey,grey,brown,casual,polo,jeans,boots,regular,mild,business,none,1
navy,black,brown,old_money,oxford,trousers,loafers,slim,mild,business,none,2
brown,black,black,formal,henley,chinos,sneakers,slim,mild,date,jacket,0
white,navy,white,streetwear,dress_shirt,trousers,loafers,slim,hot,date,long_coat,-2
navy,navy,grey,casual,tee,jeans,sandals,slim,mild,university,coat,1
grey,beige,beige,formal,polo,chinos,boots,slim,cold,university,none,-2
grey,grey,grey,casual,oxford,chinos,loafers,slim,cold,business,long_coat,1
brown,white,grey,formal,dress_shirt,trousers,loafers,relaxed,hot,date,none,0
black,brown,white,formal,tee,shorts,sandals,relaxed,mild,business,coat,0
white,white,black,minimal,henley,shorts,loafers,relaxed,mild,business,jacket,1
black,black,black,streetwear,dress_shirt,trousers,sneakers,slim,mild,date,long_coat,1
black,white,grey,streetwear,dress_shirt,trousers,boots,oversized,hot,business,long_coat,-2
beige,beige,brown,formal,henley,trousers,boots,oversized,cold,business,long_coat,1
grey,brown,brown,streetwear,henley,shorts,boots,relaxed,hot,university,coat,-2
grey,grey,brown,old_money,oxford,shorts,loafers,regular,cold,date,none,1
grey,black,navy,old_money,oxford,trousers,loafers,oversized,cold,date,long_coat,2
beige,beige,grey,old_money,oxford,trousers,loafers,relaxed,hot,business,long_coat,-1
beige,black,navy,casual,polo,trousers,boots,oversized,hot,party,long_coat,-2
beige,navy,black,minimal,henley,trousers,boots,oversized,mild,university,coat,0
black,white,black,formal,oxford,trousers,boots,oversized,mild,date,jacket,0
white,brown,navy,old_money,tee,chinos,loafers,slim,hot,university,long_coat,0
white,white,black,minimal,tee,trousers,boots,oversized,cold,business,long_coat,1
black,black,navy,formal,dress_shirt,shorts,sandals,relaxed,mild,party,jacket,3
navy,grey,navy,formal,oxford,shorts,loafers,regular,mild,party,jacket,2
black,navy,brown,formal,dress_shirt,shorts,boots,relaxed,hot,university,coat,-2
navy,beige,beige,formal,dress_shirt,chinos,sandals,slim,mild,date,jacket,0
brown,navy,beige,casual,polo,chinos,boots,regular,mild,business,jacket,0
beige,brown,grey,formal,tee,trousers,boots,regular,hot,business,coat,-2
beige,grey,white,formal,oxford,jeans,sandals,relaxed,mild,party,none,1
navy,brown,grey,casual,tee,jeans,sneakers,regular,mild,university,none,0
navy,white,brown,minimal,dress_shirt,chinos,sandals,slim,hot,date,coat,-2
navy,brown,brown,streetwear,polo,jeans,loafers,relaxed,mild,date,coat,0
beige,beige,grey,streetwear,dress_shirt,trousers,loafers,relaxed,cold,party,jacket,1
brown,beige,navy,streetwear,henley,jeans,loafers,oversized,hot,university,jacket,-2
grey,navy,black,minimal,dress_shirt,shorts,sandals,slim,mild,business,jacket,0
navy,black,grey,streetwear,henley,chinos,sandals,regular,cold,party,long_coat,-2
black,white,white,streetwear,henley,chinos,sandals,slim,cold,business,jacket,-2
navy,beige,grey,formal,tee,shorts,boots,oversized,cold,university,jacket,0
navy,white,grey,old_money,polo,chinos,loafers,slim,cold,date,jacket,0
beige,grey,brown,streetwear,dress_shirt,shorts,sneakers,relaxed,cold,date,none,-2
brown,beige,white,formal,henley,chinos,boots,relaxed,hot,business,long_coat,-2
white,black,navy,casual,dress_shirt,jeans,sandals,regular,hot,business,jacket,-2
grey,brown,white,streetwear,henley,trousers,loafers,slim,mild,business,long_coat,0
white,navy,brown,minimal,dress_shirt,chinos,boots,relaxed,cold,date,coat,0
black,black,beige,old_money,polo,jeans,sandals,slim,mild,university,none,3
navy,navy,grey,streetwear,henley,jeans,loafers,slim,cold,date,jacket,1
white,beige,beige,formal,oxford,jeans,sandals,slim,mild,date,none,0
brown,white,grey,streetwear,polo,trousers,sandals,relaxed,mild,date,coat,0
grey,black,black,casual,oxford,trousers,sandals,slim,hot,date,long_coat,-2
brown,navy,grey,casual,henley,trousers,sandals,slim,hot,business,long_coat,-2
brown,navy,brown,formal,polo,jeans,loafers,relaxed,hot,party,none,1
white,grey,beige,streetwear,tee,jeans,loafers,oversized,mild,business,none,0
brown,brown,beige,casual,henley,jeans,sandals,oversized,hot,business,coat,-1
white,navy,navy,casual,henley,jeans,loafers,relaxed,cold,business,none,-2
navy,grey,brown,formal,tee,trousers,boots,slim,hot,university,long_coat,-2
grey,beige,white,formal,oxford,chinos,sneakers,relaxed,cold,business,none,-2
white,beige,grey,minimal,oxford,chinos,boots,relaxed,mild,date,coat,0
black,white,beige,formal,dress_shirt,shorts,boots,slim,hot,university,coat,-2
beige,black,navy,casual,oxford,chinos,sneakers,relaxed,mild,date,jacket,0
brown,brown,grey,casual,dress_shirt,chinos,sneakers,relaxed,cold,party,coat,1
black,navy,beige,streetwear,dress_shirt,shorts,sneakers,regular,cold,business,none,-2
black,navy,beige,casual,dress_shirt,trousers,sandals,slim,cold,university,long_coat,-2
grey,black,beige,casual,dress_shirt,shorts,sneakers,regular,cold,university,coat,0
brown,beige,beige,streetwear,dress_shirt,chinos,sneakers,regular,hot,business,long_coat,-2
grey,white,grey,formal,polo,trousers,loafers,regular,hot,business,long_coat,-2
white,black,grey,casual,oxford,chinos,sandals,regular,hot,party,jacket,-2
brown,white,black,old_money,henley,jeans,boots,oversized,cold,business,none,0
brown,brown,black,old_money,polo,jeans,sneakers,regular,hot,business,jacket,1
grey,brown,brown,streetwear,polo,shorts,sneakers,oversized,mild,business,coat,0
black,black,grey,minimal,oxford,chinos,loafers,regular,hot,date,coat,-1
white,navy,beige,casual,henley,trousers,boots,slim,hot,business,long_coat,-2
grey,grey,white,casual,tee,trousers,boots,relaxed,hot,business,long_coat,-2
white,grey,grey,old_money,dress_shirt,trousers,boots,oversized,cold,university,long_coat,0
black,black,white,old_money,oxford,jeans,boots,relaxed,cold,business,coat,1
brown,navy,black,streetwear,oxford,chinos,sandals,relaxed,hot,university,coat,-2
brown,navy,white,casual,tee,chinos,loafers,slim,hot,university,none,0
black,grey,brown,casual,oxford,chinos,boots,regular,hot,date,none,0
grey,grey,navy,minimal,henley,shorts,loafers,regular,mild,university,jacket,1
navy,navy,white,streetwear,polo,jeans,boots,oversized,cold,university,none,-1
black,brown,grey,formal,dress_shirt,jeans,sandals,relaxed,cold,date,none,-4
white,navy,navy,streetwear,polo,shorts,loafers,oversized,hot,business,none,0
beige,grey,black,casual,polo,jeans,sneakers,regular,cold,party,coat,0
beige,black,brown,streetwear,tee,shorts,sneakers,slim,cold,business,long_coat,0
white,grey,brown,formal,dress_shirt,shorts,boots,oversized,hot,date,none,0
white,navy,white,minimal,henley,trousers,sneakers,regular,mild,business,jacket,0
brown,white,white,old_money,polo,jeans,sneakers,oversized,hot,party,jacket,-2
navy,brown,white,casual,tee,trousers,loafers,relaxed,hot,party,long_coat,-2
grey,beige,brown,old_money,oxford,jeans,sandals,oversized,hot,party,jacket,0
grey,white,grey,streetwear,henley,jeans,sandals,oversized,mild,party,long_coat,0
white,black,black,streetwear,oxford,trousers,sandals,regular,hot,business,jacket,-2
beige,black,grey,casual,polo,trousers,sneakers,regular,hot,business,jacket,-2
white,beige,beige,old_money,dress_shirt,chinos,boots,oversized,mild,party,jacket,2
navy,grey,black,minimal,polo,trousers,sandals,regular,hot,university,none,0
black,beige,white,formal,oxford,jeans,loafers,relaxed,mild,business,none,0
navy,white,navy,minimal,oxford,trousers,sneakers,relaxed,mild,university,coat,0
black,white,navy,streetwear,tee,jeans,sneakers,oversized,mild,party,none,0
beige,black,beige,formal,tee,jeans,sandals,oversized,hot,university,coat,-2
brown,beige,navy,formal,dress_shirt,jeans,boots,relaxed,hot,university,coat,-1
white,black,grey,old_money,henley,chinos,boots,slim,cold,business,none,-2
black,black,white,minimal,oxford,trousers,boots,oversized,cold,date,coat,1
black,black,grey,formal,dress_shirt,chinos,boots,oversized,hot,date,jacket,-1
black,beige,grey,casual,oxford,trousers,sneakers,relaxed,hot,party,coat,-2
grey,brown,navy,formal,oxford,shorts,sandals,regular,mild,party,jacket,2
grey,black,brown,streetwear,polo,jeans,boots,regular,cold,business,long_coat,0
brown,navy,black,minimal,polo,jeans,boots,oversized,hot,business,none,0
grey,black,grey,formal,oxford,chinos,sandals,oversized,mild,business,jacket,0
navy,brown,brown,casual,oxford,jeans,boots,slim,mild,university,none,0
grey,navy,grey,streetwear,dress_shirt,jeans,sneakers,relaxed,hot,business,jacket,-2
brown,black,white,formal,dress_shirt,chinos,sneakers,oversized,mild,party,coat,1
brown,beige,beige,formal,tee,jeans,sandals,regular,mild,business,coat,0
grey,black,black,streetwear,henley,shorts,sandals,oversized,cold,business,jacket,-2
brown,white,black,old_money,dress_shirt,shorts,boots,relaxed,mild,date,jacket,2
beige,beige,black,old_money,henley,chinos,boots,regular,mild,business,coat,3
brown,beige,black,formal,dress_shirt,trousers,boots,slim,mild,business,coat,0
white,white,navy,old_money,polo,jeans,sneakers,regular,mild,university,none,3
beige,navy,navy,minimal,oxford,shorts,boots,relaxed,cold,business,jacket,0
grey,black,black,formal,polo,chinos,loafers,oversized,hot,date,long_coat,-2
beige,grey,navy,formal,dress_shirt,trousers,sandals,relaxed,hot,party,coat,0
black,beige,beige,minimal,dress_shirt,chinos,sneakers,oversized,cold,university,none,-2
navy,white,grey,formal,henley,jeans,sandals,oversized,hot,business,long_coat,-2
navy,black,grey,minimal,oxford,jeans,sandals,oversized,mild,party,long_coat,0
white,black,beige,minimal,oxford,trousers,sneakers,regular,hot,university,coat,-2
navy,grey,white,old_money,dress_shirt,jeans,sandals,oversized,hot,university,coat,-2
navy,grey,beige,minimal,polo,jeans,boots,slim,cold,date,jacket,0
white,black,white,minimal,polo,trousers,sneakers,relaxed,cold,university,none,-2
white,grey,brown,casual,henley,shorts,loafers,oversized,mild,party,coat,0
beige,grey,black,formal,dress_shirt,shorts,sneakers,oversized,hot,university,none,0
beige,grey,brown,formal,polo,shorts,boots,regular,hot,party,jacket,-1
white,black,white,casual,polo,chinos,boots,regular,mild,date,coat,0
white,beige,grey,minimal,henley,chinos,loafers,slim,cold,party,long_coat,0
navy,black,white,casual,polo,chinos,loafers,slim,mild,date,long_coat,0
navy,black,grey,formal,oxford,shorts,sneakers,relaxed,mild,party,long_coat,1
beige,white,brown,old_money,polo,chinos,sandals,relaxed,mild,university,none,2
black,navy,black,streetwear,polo,trousers,boots,slim,mild,business,long_coat,0
beige,navy,black,minimal,oxford,shorts,sneakers,oversized,hot,university,none,0
grey,black,grey,casual,polo,shorts,boots,slim,hot,university,jacket,-2
brown,navy,beige,streetwear,henley,jeans,sneakers,relaxed,hot,business,none,0
white,black,navy,old_money,tee,shorts,sneakers,regular,hot,business,none,2
navy,brown,grey,minimal,oxford,trousers,boots,oversized,hot,business,none,0
brown,navy,navy,casual,tee,chinos,loafers,relaxed,mild,date,long_coat,0
white,brown,beige,minimal,dress_shirt,jeans,sneakers,oversized,hot,university,jacket,-2
grey,navy,brown,old_money,oxford,jeans,loafers,relaxed,cold,date,jacket,2
navy,white,brown,formal,oxford,chinos,boots,oversized,cold,date,coat,0
black,grey,navy,formal,oxford,trousers,sandals,regular,hot,party,none,2
white,beige,brown,formal,tee,chinos,boots,slim,mild,university,none,0
white,white,navy,casual,henley,chinos,loafers,regular,cold,date,long_coat,1
grey,brown,beige,formal,tee,shorts,sneakers,slim,hot,university,long_coat,-2
navy,black,black,formal,dress_shirt,shorts,sneakers,slim,mild,date,none,0
grey,brown,black,casual,henley,shorts,sneakers,slim,mild,party,none,0
black,white,grey,formal,henley,chinos,loafers,relaxed,hot,date,none,0
black,navy,grey,casual,tee,jeans,loafers,relaxed,cold,university,coat,0
grey,white,beige,formal,polo,jeans,loafers,relaxed,cold,date,jacket,0
beige,grey,brown,casual,polo,jeans,loafers,regular,mild,university,long_coat,0
black,black,white,casual,oxford,chinos,loafers,relaxed,cold,business,none,-1
white,black,grey,formal,dress_shirt,shorts,boots,regular,mild,university,long_coat,0
beige,beige,black,old_money,tee,chinos,boots,regular,cold,university,coat,3
grey,brown,navy,minimal,dress_shirt,jeans,sandals,relaxed,cold,university,none,-4
black,navy,black,old_money,polo,shorts,sneakers,regular,hot,university,none,2
navy,navy,navy,streetwear,tee,chinos,sneakers,regular,cold,date,jacket,1
white,white,beige,minimal,tee,trousers,loafers,regular,cold,business,long_coat,1
navy,black,white,formal,dress_shirt,jeans,sandals,slim,mild,business,jacket,0
black,grey,navy,casual,henley,shorts,loafers,relaxed,mild,university,none,0
black,navy,grey,formal,oxford,trousers,sneakers,relaxed,mild,party,none,1
white,brown,navy,casual,henley,jeans,loafers,oversized,hot,party,long_coat,-2
brown,black,beige,streetwear,oxford,shorts,sandals,oversized,mild,business,coat,0
black,white,white,minimal,tee,trousers,sandals,slim,cold,date,jacket,-2
white,grey,brown,streetwear,polo,trousers,loafers,regular,mild,party,jacket,0
black,navy,black,formal,dress_shirt,shorts,boots,oversized,cold,date,long_coat,0
black,navy,black,old_money,oxford,shorts,sandals,relaxed,cold,business,none,-2
black,navy,beige,casual,henley,trousers,sneakers,relaxed,mild,university,long_coat,0
grey,beige,brown,streetwear,tee,jeans,sneakers,oversized,mild,business,none,0
beige,brown,beige,formal,polo,chinos,sandals,regular,hot,university,coat,-2
