shirt,pants,shoes,style,shirt_subtype,pants_subtype,shoes_subtype,fit,temperature,occasion,outerwear,score
silver,olive,cream,casual,graphic_tee,pleated_trousers,boots,relaxed,mild,travel,blazer,0.5
silver,cream,cream,vintage,dress_shirt,joggers,sandals,skinny,freezing,business,none,0.0
navy,navy,olive,gorpcore,dress_shirt,swim_shorts,sneakers,relaxed,cold,business,varsity_jacket,0.0
beige,cream,grey,formal,sweater,shorts,sneakers,relaxed,warm,date,bomber,0.0
olive,navy,charcoal,gorpcore,polo,pleated_trousers,derbies,oversized,freezing,gym,puffer,0.0
silver,charcoal,white,streetwear,cardigan,carpenter_pants,derbies,relaxed,cold,travel,none,0.5
silver,olive,yellow,smart_casual,dress_shirt,chinos,derbies,regular,hot,university,blazer,0.25
olive,brown,charcoal,smart_casual,sweater,pleated_trousers,chunky_sneakers,oversized,freezing,gym,blazer,0.25
green,cream,blue,casual,oxford,joggers,chunky_sneakers,cropped,freezing,gym,blazer,0.25
red,cream,grey,smart_casual,turtleneck,trousers,chelsea_boots,cropped,freezing,party,bomber,0.5
yellow,charcoal,black,vintage,cardigan,joggers,sandals,slim,hot,university,leather_jacket,0.25
beige,cream,silver,formal,overshirt,sweatpants,loafers,regular,cold,business,blazer,0.0
red,cream,silver,old_money,flannel,carpenter_pants,running_shoes,oversized,mild,travel,parka,0.4
gold,black,gold,streetwear,tee,jeans,running_shoes,relaxed,freezing,lounge,blazer,0.55
gold,green,blue,old_money,turtleneck,trousers,sneakers,slim,hot,club,overcoat,0.25
cream,beige,charcoal,old_money,long_sleeve,shorts,sneakers,relaxed,cold,university,peacoat,0.5
gold,yellow,black,formal,hoodie,chinos,chelsea_boots,relaxed,cold,university,none,0.05
blue,white,blue,formal,turtleneck,trousers,running_shoes,cropped,mild,university,blazer,0.0
red,yellow,cream,casual,cardigan,joggers,sandals,relaxed,freezing,travel,suit_jacket,0.5
beige,grey,white,streetwear,henley,cargos,loafers,oversized,hot,club,blazer,0.25
brown,green,burgundy,formal,flannel,pleated_trousers,chelsea_boots,oversized,warm,business,denim_jacket,0.5
cream,brown,red,formal,sweatshirt,trousers,chelsea_boots,cropped,warm,party,peacoat,0.5
gold,burgundy,gold,minimal,graphic_tee,track_pants,loafers,relaxed,warm,university,trench,0.55
blue,white,charcoal,formal,sweater,sweatpants,boots,cropped,cold,club,puffer,0.0
burgundy,charcoal,grey,formal,sweatshirt,trousers,chelsea_boots,cropped,cold,lounge,gilet,0.5
beige,beige,beige,smart_casual,flannel,carpenter_pants,sandals,skinny,hot,date,leather_jacket,0.275
yellow,cream,green,smart_casual,sweater,track_pants,sneakers,slim,mild,date,parka,0.5
gold,burgundy,red,formal,sweater,trousers,slides,slim,cold,date,bomber,0.0
charcoal,blue,blue,formal,hoodie,trousers,sandals,cropped,cold,travel,windbreaker,0.0
brown,blue,red,smart_casual,graphic_tee,chinos,slides,skinny,warm,gym,puffer,0.1
red,red,yellow,old_money,sweater,sweatpants,slides,oversized,mild,travel,peacoat,0.15
gold,beige,white,gorpcore,overshirt,carpenter_pants,boots,cropped,warm,gym,overcoat,0.0
blue,black,silver,smart_casual,graphic_tee,pleated_trousers,running_shoes,cropped,hot,travel,windbreaker,0.25
red,olive,brown,gorpcore,henley,joggers,loafers,oversized,cold,party,puffer,0.39999999999999997
yellow,silver,burgundy,minimal,dress_shirt,cargos,loafers,regular,warm,party,overcoat,0.5
white,navy,blue,athleisure,graphic_tee,shorts,loafers,skinny,mild,lounge,windbreaker,0.4
green,black,blue,gorpcore,cardigan,cargos,sandals,oversized,hot,travel,peacoat,0.35
olive,green,black,streetwear,cardigan,jeans,chunky_sneakers,slim,warm,lounge,gilet,0.5
navy,beige,green,streetwear,henley,chinos,chelsea_boots,cropped,hot,date,windbreaker,0.25
grey,burgundy,olive,old_money,tee,chinos,derbies,oversized,mild,travel,trench,0.5
cream,charcoal,red,streetwear,polo,shorts,sneakers,skinny,warm,date,denim_jacket,0.5
charcoal,green,cream,streetwear,overshirt,pleated_trousers,slides,slim,cold,lounge,denim_jacket,0.5
red,beige,burgundy,athleisure,hoodie,sweatpants,loafers,regular,warm,date,leather_jacket,0.5
green,gold,beige,athleisure,overshirt,pleated_trousers,running_shoes,oversized,freezing,lounge,trench,0.5
grey,white,silver,casual,graphic_tee,sweatpants,sandals,cropped,warm,gym,overcoat,0.25
beige,silver,cream,old_money,henley,carpenter_pants,sandals,relaxed,warm,lounge,peacoat,0.5
olive,blue,yellow,minimal,long_sleeve,sweatpants,sandals,relaxed,warm,date,gilet,0.5
red,olive,olive,athleisure,overshirt,cargos,running_shoes,cropped,cold,date,none,0.5
yellow,beige,green,athleisure,hoodie,trousers,chunky_sneakers,skinny,warm,gym,suit_jacket,0.1
blue,white,yellow,vintage,sweatshirt,sweatpants,chunky_sneakers,skinny,warm,university,denim_jacket,0.5
beige,charcoal,beige,minimal,turtleneck,track_pants,running_shoes,slim,cold,lounge,gilet,0.55
charcoal,grey,silver,vintage,hoodie,shorts,chelsea_boots,oversized,cold,party,puffer,0.5
cream,green,blue,minimal,long_sleeve,trousers,boots,skinny,hot,university,none,0.5
brown,black,silver,old_money,tee,sweatpants,sandals,relaxed,freezing,business,blazer,0.0
green,burgundy,brown,gorpcore,dress_shirt,sweatpants,sneakers,oversized,freezing,club,overcoat,0.45
red,blue,green,casual,dress_shirt,swim_shorts,boots,skinny,cold,travel,peacoat,0.5
charcoal,gold,blue,formal,overshirt,trousers,sandals,slim,warm,travel,puffer,0.0
red,grey,red,casual,long_sleeve,pleated_trousers,loafers,skinny,cold,business,gilet,0.55
olive,grey,silver,old_money,tee,track_pants,slides,skinny,warm,travel,denim_jacket,0.5
red,navy,white,minimal,hoodie,carpenter_pants,chelsea_boots,skinny,mild,gym,none,0.0
silver,gold,black,casual,sweatshirt,joggers,derbies,cropped,hot,date,gilet,0.5
black,green,beige,athleisure,sweatshirt,pleated_trousers,loafers,slim,warm,club,suit_jacket,0.5
beige,brown,cream,formal,dress_shirt,chinos,loafers,relaxed,cold,club,bomber,0.5
beige,olive,blue,gorpcore,sweatshirt,trousers,slides,slim,freezing,date,peacoat,0.5
black,cream,red,athleisure,overshirt,chinos,sandals,oversized,mild,university,puffer,0.5
silver,navy,grey,vintage,turtleneck,swim_shorts,boots,slim,mild,party,blazer,0.5
olive,red,grey,vintage,henley,chinos,derbies,skinny,hot,lounge,trench,0.25
cream,brown,blue,streetwear,flannel,swim_shorts,loafers,relaxed,hot,lounge,suit_jacket,0.25
yellow,black,gold,minimal,flannel,jeans,chunky_sneakers,regular,cold,date,suit_jacket,0.5
grey,red,beige,formal,sweatshirt,chinos,chunky_sneakers,skinny,warm,travel,windbreaker,0.5
burgundy,silver,navy,vintage,polo,carpenter_pants,derbies,slim,freezing,party,varsity_jacket,0.5
red,green,white,formal,long_sleeve,jeans,loafers,regular,freezing,gym,parka,0.0
cream,charcoal,green,minimal,cardigan,swim_shorts,sandals,relaxed,hot,gym,bomber,0.0
brown,yellow,charcoal,old_money,oxford,swim_shorts,chelsea_boots,oversized,cold,lounge,trench,0.5
charcoal,burgundy,brown,streetwear,tee,cargos,boots,regular,hot,business,blazer,0.0
navy,charcoal,black,casual,graphic_tee,swim_shorts,sneakers,skinny,hot,travel,leather_jacket,0.25
blue,beige,blue,vintage,tee,jeans,derbies,cropped,warm,university,gilet,0.55
gold,red,silver,smart_casual,oxford,chinos,sandals,cropped,warm,club,trench,0.5
red,cream,charcoal,vintage,turtleneck,sweatpants,boots,cropped,hot,gym,parka,0.0
black,yellow,beige,formal,tee,cargos,chunky_sneakers,skinny,cold,lounge,varsity_jacket,0.0
gold,grey,yellow,old_money,polo,sweatpants,loafers,skinny,freezing,business,denim_jacket,0.0
blue,gold,cream,old_money,dress_shirt,track_pants,running_shoes,relaxed,hot,party,suit_jacket,0.15
green,red,gold,smart_casual,turtleneck,pleated_trousers,loafers,regular,hot,business,windbreaker,0.25
burgundy,green,green,gorpcore,hoodie,carpenter_pants,running_shoes,skinny,cold,club,blazer,0.6
silver,charcoal,charcoal,minimal,dress_shirt,shorts,derbies,oversized,warm,business,varsity_jacket,0.0
blue,brown,gold,vintage,hoodie,swim_shorts,slides,cropped,hot,party,none,0.5
grey,yellow,cream,streetwear,graphic_tee,shorts,sneakers,regular,warm,business,overcoat,0.0
black,grey,green,vintage,polo,pleated_trousers,loafers,skinny,warm,travel,trench,0.5
navy,navy,beige,casual,overshirt,cargos,sneakers,regular,mild,lounge,blazer,0.5
charcoal,charcoal,charcoal,smart_casual,flannel,sweatpants,chunky_sneakers,skinny,hot,lounge,varsity_jacket,0.11000000000000001
gold,beige,charcoal,minimal,polo,sweatpants,running_shoes,skinny,hot,lounge,peacoat,0.1
silver,charcoal,charcoal,old_money,turtleneck,chinos,sneakers,slim,hot,business,none,0.5
cream,green,navy,smart_casual,oxford,pleated_trousers,running_shoes,skinny,mild,travel,none,0.5
navy,navy,gold,smart_casual,sweater,trousers,derbies,relaxed,freezing,travel,trench,0.5
burgundy,navy,gold,athleisure,henley,swim_shorts,slides,oversized,mild,business,peacoat,0.0
navy,gold,grey,casual,sweater,trousers,boots,relaxed,mild,club,none,0.5
brown,grey,blue,streetwear,oxford,pleated_trousers,chelsea_boots,oversized,hot,travel,overcoat,0.25
gold,charcoal,blue,old_money,sweatshirt,sweatpants,boots,regular,freezing,party,blazer,0.25
navy,olive,brown,casual,long_sleeve,trousers,boots,cropped,mild,university,puffer,0.5
blue,brown,burgundy,vintage,tee,track_pants,sandals,regular,freezing,lounge,blazer,0.5
gold,gold,charcoal,streetwear,polo,shorts,slides,oversized,mild,gym,peacoat,0.5
cream,green,charcoal,streetwear,flannel,pleated_trousers,sneakers,regular,mild,gym,suit_jacket,0.5
blue,beige,blue,smart_casual,henley,cargos,running_shoes,regular,cold,club,parka,0.55
burgundy,brown,yellow,formal,long_sleeve,chinos,boots,skinny,hot,travel,peacoat,0.25
red,grey,yellow,smart_casual,dress_shirt,chinos,chunky_sneakers,slim,cold,business,trench,0.5
blue,yellow,navy,athleisure,oxford,pleated_trousers,chelsea_boots,cropped,freezing,gym,denim_jacket,0.0
olive,green,olive,gorpcore,tee,chinos,boots,regular,mild,party,none,0.55
silver,yellow,black,formal,tee,swim_shorts,sneakers,slim,mild,party,blazer,0.0
brown,blue,cream,vintage,oxford,carpenter_pants,boots,cropped,mild,party,denim_jacket,0.5
brown,beige,yellow,athleisure,flannel,jeans,chelsea_boots,oversized,mild,travel,blazer,0.35
grey,navy,grey,athleisure,tee,trousers,slides,slim,cold,date,bomber,0.385
navy,olive,silver,formal,tee,trousers,loafers,skinny,mild,club,denim_jacket,0.5
beige,green,olive,old_money,cardigan,sweatpants,chunky_sneakers,skinny,warm,business,overcoat,0.0
blue,white,olive,casual,dress_shirt,jeans,chunky_sneakers,slim,warm,date,peacoat,0.5
gold,black,charcoal,old_money,tee,joggers,boots,oversized,freezing,gym,none,0.0
brown,yellow,green,vintage,sweater,shorts,chunky_sneakers,cropped,warm,party,denim_jacket,0.5
yellow,olive,white,casual,henley,carpenter_pants,sandals,slim,freezing,business,suit_jacket,0.0
olive,gold,charcoal,gorpcore,graphic_tee,track_pants,sneakers,slim,mild,date,overcoat,0.5
beige,silver,blue,casual,graphic_tee,joggers,boots,skinny,freezing,travel,denim_jacket,0.5
gold,blue,navy,athleisure,long_sleeve,pleated_trousers,sneakers,relaxed,mild,gym,blazer,0.5
blue,yellow,black,minimal,tee,pleated_trousers,chelsea_boots,regular,hot,club,denim_jacket,0.25
blue,beige,green,vintage,oxford,trousers,sandals,skinny,mild,business,denim_jacket,0.0
olive,green,gold,vintage,graphic_tee,track_pants,running_shoes,oversized,freezing,university,peacoat,0.5
green,green,brown,gorpcore,oxford,track_pants,derbies,slim,mild,gym,gilet,0.0
olive,brown,silver,smart_casual,sweater,swim_shorts,slides,slim,warm,lounge,leather_jacket,0.5
olive,brown,gold,casual,polo,trousers,boots,slim,hot,gym,parka,0.0
yellow,burgundy,olive,vintage,oxford,carpenter_pants,chunky_sneakers,slim,hot,lounge,windbreaker,0.25
navy,black,brown,smart_casual,polo,track_pants,boots,slim,hot,gym,parka,0.0
silver,olive,olive,streetwear,turtleneck,jeans,chelsea_boots,cropped,hot,lounge,peacoat,0.25
brown,beige,olive,formal,oxford,pleated_trousers,loafers,regular,mild,lounge,blazer,0.5
beige,yellow,white,old_money,long_sleeve,jeans,sandals,regular,cold,lounge,varsity_jacket,0.5
cream,green,red,vintage,hoodie,trousers,sneakers,slim,mild,gym,varsity_jacket,0.1
silver,charcoal,cream,streetwear,flannel,track_pants,sneakers,cropped,cold,lounge,leather_jacket,0.5
grey,brown,gold,minimal,turtleneck,pleated_trousers,derbies,oversized,freezing,travel,overcoat,0.65
brown,grey,blue,casual,dress_shirt,swim_shorts,chelsea_boots,oversized,hot,date,overcoat,0.25
charcoal,brown,green,minimal,turtleneck,cargos,loafers,regular,hot,party,varsity_jacket,0.25
yellow,grey,brown,minimal,cardigan,trousers,running_shoes,skinny,mild,university,parka,0.5
grey,green,brown,formal,oxford,sweatpants,chunky_sneakers,relaxed,hot,date,trench,0.0
brown,silver,navy,gorpcore,long_sleeve,swim_shorts,chunky_sneakers,skinny,mild,gym,windbreaker,0.35
silver,black,silver,athleisure,flannel,swim_shorts,slides,cropped,mild,lounge,varsity_jacket,0.55
brown,beige,blue,streetwear,hoodie,cargos,loafers,slim,cold,gym,parka,0.0
cream,green,gold,casual,sweatshirt,trousers,chunky_sneakers,slim,cold,lounge,parka,0.5
grey,gold,brown,formal,sweater,shorts,boots,skinny,warm,gym,varsity_jacket,0.0
charcoal,silver,gold,gorpcore,sweatshirt,joggers,derbies,cropped,hot,travel,varsity_jacket,0.25
green,burgundy,yellow,old_money,polo,swim_shorts,chelsea_boots,cropped,hot,club,leather_jacket,0.25
silver,burgundy,silver,athleisure,polo,swim_shorts,chunky_sneakers,slim,cold,university,bomber,0.55
cream,red,burgundy,vintage,cardigan,joggers,running_shoes,regular,freezing,business,suit_jacket,0.0
gold,silver,yellow,vintage,sweatshirt,trousers,derbies,skinny,hot,business,varsity_jacket,0.25
cream,olive,charcoal,gorpcore,oxford,chinos,sneakers,oversized,freezing,party,windbreaker,0.6
gold,gold,silver,formal,cardigan,sweatpants,sneakers,regular,warm,business,none,0.0
cream,beige,silver,casual,oxford,cargos,sneakers,oversized,freezing,travel,suit_jacket,0.5
grey,navy,grey,minimal,tee,track_pants,chunky_sneakers,cropped,freezing,university,gilet,0.22000000000000003
burgundy,red,grey,smart_casual,cardigan,sweatpants,sandals,relaxed,warm,travel,leather_jacket,0.5
yellow,beige,charcoal,minimal,hoodie,carpenter_pants,chelsea_boots,skinny,cold,lounge,gilet,0.5
black,cream,red,minimal,polo,cargos,loafers,regular,cold,business,overcoat,0.0
white,silver,beige,vintage,oxford,sweatpants,sneakers,oversized,freezing,business,blazer,0.0
yellow,silver,grey,old_money,polo,jeans,boots,cropped,hot,lounge,varsity_jacket,0.15
white,olive,beige,athleisure,flannel,carpenter_pants,chunky_sneakers,slim,warm,club,bomber,0.5
burgundy,cream,navy,smart_casual,polo,jeans,chunky_sneakers,slim,warm,travel,gilet,0.5
green,red,olive,minimal,overshirt,jeans,loafers,cropped,hot,university,overcoat,0.25
red,burgundy,cream,old_money,dress_shirt,track_pants,slides,skinny,cold,club,parka,0.4
charcoal,white,charcoal,vintage,flannel,jeans,boots,oversized,cold,club,bomber,0.55
olive,burgundy,green,minimal,polo,jeans,sneakers,regular,hot,party,denim_jacket,0.25
yellow,brown,cream,vintage,sweatshirt,chinos,derbies,slim,freezing,gym,gilet,0.0
brown,charcoal,charcoal,smart_casual,cardigan,joggers,chunky_sneakers,slim,mild,gym,parka,0.25
yellow,black,grey,formal,long_sleeve,pleated_trousers,slides,relaxed,hot,party,blazer,0.0
red,white,silver,gorpcore,sweatshirt,shorts,loafers,regular,freezing,business,leather_jacket,0.0
beige,navy,brown,formal,tee,chinos,sandals,cropped,hot,gym,leather_jacket,0.0
beige,green,navy,smart_casual,oxford,track_pants,slides,slim,freezing,university,leather_jacket,0.5
burgundy,black,black,old_money,henley,jeans,chelsea_boots,oversized,cold,date,parka,0.5
brown,silver,green,old_money,sweatshirt,joggers,derbies,oversized,cold,university,peacoat,0.5
burgundy,white,black,athleisure,henley,swim_shorts,derbies,skinny,warm,lounge,puffer,0.4
blue,burgundy,navy,vintage,polo,jeans,derbies,relaxed,mild,date,blazer,0.5
olive,silver,gold,formal,overshirt,track_pants,derbies,regular,freezing,club,denim_jacket,0.5
green,green,white,minimal,turtleneck,carpenter_pants,boots,regular,hot,business,blazer,0.25
charcoal,gold,olive,smart_casual,hoodie,pleated_trousers,derbies,skinny,cold,date,suit_jacket,0.5
gold,grey,yellow,formal,oxford,swim_shorts,derbies,skinny,warm,business,gilet,0.0
cream,black,red,vintage,dress_shirt,shorts,chelsea_boots,relaxed,cold,club,none,0.5
blue,red,charcoal,smart_casual,sweatshirt,cargos,derbies,regular,hot,date,varsity_jacket,0.25
olive,cream,red,streetwear,polo,chinos,chunky_sneakers,skinny,warm,business,trench,0.5
